Name,NumCalls,Parent
San Francisco,
D2,,San Francisco
D3,,San Francisco
41,331,B1
28,509,B1
2,468,B1
3,227,B1
13,665,B1
1,81,B1
7,652,B2
36,1746,B2
35,1,B2
10,1,B2
6,684,B2
29,168,B2
1,611,B2
3,1362,B2
5,338,B2
35,608,B3
36,166,B3
4,163,B3
8,596,B3
48,186,B3
29,155,B3
37,14,B3
3,918,B3
13,100,B3
1,1771,B3
38,622,B4
41,244,B4
51,17,B4
28,29,B4
10,147,B4
13,1,B4
16,513,B4
5,145,B4
3,859,B4
5,270,B5
20,3,B5
21,515,B5
10,197,B5
6,426,B5
12,268,B5
24,36,B5
36,2,B5
9,141,B6
24,137,B6
28,1,B6
11,619,B6
7,477,B6
26,138,B6
6,26,B6
14,1,B6
32,250,B6
22,1,B7
14,302,B7
21,38,B7
10,102,B7
12,1,B7
31,386,B7
34,308,B7
22,321,B8
20,74,B8
40,268,B8
23,315,B8
19,342,B8
18,347,B8
12,32,B8
33,85,B8
39,156,B8
26,46,B9
19,29,B9
43,522,B9
32,98,B9
15,489,B9
42,88,B9
33,340,B9
39,63,B9
44,150,B9
25,332,B10
32,43,B10
37,284,B10
29,3,B10
7,52,B10
4,2,B10
42,294,B10
17,885,B10
9,188,B10
44,228,B10
B1,,D2
B2,,D3
B3,,D3
B4,,D2
B5,,D2
B6,,D3
B7,,D2
B8,,D2
B9,,D3
B10,,D3
